[Date: 2019-01-16 00:42:18; Function: logInAction; Status: fail; Message: Incorrect password!; User: unknown; IP: 127.0.0.1]
[Date: 2019-01-16 00:42:33; Function: logInAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:42:33; Function: loadMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:42:47; Function: addMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:42:47; Function: loadMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:43:00; Function: addMessageAction; Status: fail; Message: Incorrect message!; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:43:10; Function: logOutAction; Status: done; Message: success; User: unknown; IP: 127.0.0.1]
[Date: 2019-01-16 00:43:10; Function: loadMessageAction; Status: fail; Message: You need to login!; User: unknown; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:36; Function: logInAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:36; Function: loadMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:41; Function: addMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:41; Function: loadMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:46; Function: addMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:46; Function: loadMessageAction; Status: done; Message: success; User: 123456; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:53; Function: logOutAction; Status: done; Message: success; User: unknown; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:57; Function: logInAction; Status: done; Message: success; User: dslife; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:57; Function: loadMessageAction; Status: done; Message: success; User: dslife; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:59; Function: addMessageAction; Status: done; Message: success; User: dslife; IP: 127.0.0.1]
[Date: 2019-01-16 00:48:59; Function: loadMessageAction; Status: done; Message: success; User: dslife; IP: 127.0.0.1]
[Date: 2019-01-16 00:49:14; Function: logOutAction; Status: done; Message: success; User: unknown; IP: 127.0.0.1]
